day_in_year,start_bin_id,end_bin_id,next_day_in_year,next_start_bin_id,next_end_bin_id
2019046,0,35,,,
2019046,1,36,,,
2019046,2,37,,,
2019046,3,38,,,
2019046,4,39,,,
2019046,5,40,,,
2019046,6,41,,,
2019046,7,42,,,
2019046,8,43,,,
2019046,9,44,,,
2019046,10,45,,,
2019046,11,46,,,
2019046,12,47,,,
2019046,13,48,,,
2019046,14,49,,,
2019046,15,50,,,
2019046,16,51,,,
2019046,17,52,,,
2019046,18,53,,,
2019046,19,54,,,
2019046,20,55,,,
2019046,21,56,,,
2019046,22,57,,,
2019046,23,58,,,
2019046,24,59,,,
2019046,25,60,,,
2019046,26,61,,,
2019046,27,62,,,
2019046,28,63,,,
2019046,29,64,,,
2019046,30,65,,,
2019046,31,66,,,
2019046,32,67,,,
2019046,33,68,,,
2019046,34,69,,,
2019046,35,70,,,
2019046,36,71,,,
2019046,37,72,,,
2019046,38,73,,,
2019046,39,74,,,
2019046,40,75,,,
2019046,41,76,,,
2019046,42,77,,,
2019046,43,78,,,
2019046,44,79,,,
2019046,45,80,,,
2019046,46,81,,,
2019046,47,82,,,
2019046,48,83,,,
2019046,49,84,,,
2019046,50,85,,,
2019046,51,86,,,
2019046,52,87,,,
2019046,53,88,,,
2019046,54,89,,,
2019046,55,90,,,
2019046,56,91,,,
2019046,57,92,,,
2019046,58,93,,,
2019046,59,94,,,
2019046,60,95,,,
2019049,0,35,,,
2019049,1,36,,,
2019049,2,37,,,
2019049,3,38,,,
2019049,4,39,,,
2019049,5,40,,,
2019049,6,41,,,
2019049,7,42,,,
2019049,8,43,,,
2019049,9,44,,,
2019049,10,45,,,
2019049,11,46,,,
2019049,12,47,,,
2019049,13,48,,,
2019049,14,49,,,
2019049,15,50,,,
2019049,16,51,,,
2019049,17,52,,,
2019049,18,53,,,
2019049,19,54,,,
2019049,20,55,,,
2019049,21,56,,,
2019049,22,57,,,
2019049,23,58,,,
2019049,24,59,,,
2019049,25,60,,,
2019049,26,61,,,
2019049,27,62,,,
2019049,28,63,,,
2019049,29,64,,,
2019049,30,65,,,
2019049,31,66,,,
2019049,32,67,,,
2019049,33,68,,,
2019049,34,69,,,
2019049,35,70,,,
2019049,36,71,,,
2019049,37,72,,,
2019049,38,73,,,
2019049,39,74,,,
2019049,40,75,,,
2019049,41,76,,,
2019049,42,77,,,
2019049,43,78,,,
2019049,44,79,,,
2019049,45,80,,,
2019049,46,81,,,
2019049,47,82,,,
2019049,48,83,,,
2019049,49,84,,,
2019049,50,85,,,
2019049,51,86,,,
2019049,52,87,,,
2019049,53,88,,,
2019049,54,89,,,
2019049,55,90,,,
2019049,56,91,,,
2019049,57,92,,,
2019049,58,93,,,
2019049,59,94,,,
2019049,60,95,,,
2019049,61,95,2019050,0,0
2019049,62,95,2019050,0,1
2019049,63,95,2019050,0,2
2019049,64,95,2019050,0,3
2019049,65,95,2019050,0,4
2019049,66,95,2019050,0,5
2019049,67,95,2019050,0,6
2019049,68,95,2019050,0,7
2019049,69,95,2019050,0,8
2019049,70,95,2019050,0,9
2019049,71,95,2019050,0,10
2019049,72,95,2019050,0,11
2019049,73,95,2019050,0,12
2019049,74,95,2019050,0,13
2019049,75,95,2019050,0,14
2019049,76,95,2019050,0,15
2019049,77,95,2019050,0,16
2019049,78,95,2019050,0,17
2019049,79,95,2019050,0,18
2019049,80,95,2019050,0,19
2019049,81,95,2019050,0,20
2019049,82,95,2019050,0,21
2019049,83,95,2019050,0,22
2019049,84,95,2019050,0,23
2019049,85,95,2019050,0,24
2019049,86,95,2019050,0,25
2019049,87,95,2019050,0,26
